country,lpi_score,lpi_rank,customs_score,customs_rank,infrastructure_score,infrastructure_rank,international_shipments_score,international_shipments_rank,logistics_competence_and_quality_score,logistics_competence_and_quality_rank,timeliness_score,timeliness_rank,tracking_and_tracing_score,tracking_and_tracing_rank,year
Afghanistan,2.14,150,2.01,138,1.84,154,2.38,125,2.15,139,2.61,137,1.77,155,2016
Algeria,2.77,75,2.37,108,2.58,80,2.8,77,2.91,59,3.08,91,2.86,72,2016
Angola,2.24,139,1.8,157,2.13,129,2.37,128,2.31,128,2.59,141,2.21,130,2016
Argentina,2.96,66,2.63,76,2.86,59,2.76,81,2.83,66,3.47,61,3.26,47,2016
Armenia,2.21,141,1.95,148,2.22,122,2.22,146,2.21,137,2.6,139,2.02,147,2016
Australia,3.79,19,3.54,22,3.82,18,3.63,21,3.87,17,4.04,21,3.87,19,2016
Austria,4.1,7,3.79,15,4.08,12,3.85,9,4.18,4,4.37,7,4.36,2,2016
Bahamas,2.75,78,2.65,72,2.72,68,2.8,79,2.74,73,2.93,105,2.64,87,2016
Bahrain,3.31,44,3.14,41,3.1,48,3.33,41,3.38,33,3.58,51,3.32,44,2016
Belarus,2.4,120,2.06,136,2.1,135,2.62,92,2.32,125,3.04,96,2.16,134,2016
Belgium,4.11,6,3.83,13,4.05,14,4.05,3,4.07,6,4.43,4,4.22,4,2016
Benin,2.43,115,2.2,130,2.39,97,2.55,104,2.47,104,2.69,130,2.23,129,2016
Bhutan,2.32,135,2.21,128,1.96,151,2.5,108,2.3,131,2.7,129,2.2,131,2016
Bolivia,2.25,138,1.97,146,2.11,134,2.4,122,1.9,154,2.79,118,2.31,125,2016
Bosnia and Herzegovina,2.6,97,2.69,67,2.61,77,2.28,140,2.52,99,2.94,103,2.56,95,2016
Brazil,3.09,55,2.76,62,3.11,47,2.9,72,3.12,50,3.39,66,3.28,45,2016
Bulgaria,2.81,72,2.4,97,2.35,101,2.93,67,3.06,52,3.31,72,2.72,80,2016
Burkina Faso,2.73,81,2.55,84,2.67,71,2.73,83,2.78,71,3.13,88,2.49,103,2016
Cambodia,2.8,73,2.62,77,2.36,99,3.11,52,2.6,89,3.3,73,2.7,81,2016
Cameroon,2.15,148,2.09,132,2.21,125,1.98,155,2.32,124,2.29,154,2.04,145,2016
Canada,3.93,14,3.95,6,4.14,9,3.56,29,3.9,15,4.01,25,4.1,9,2016
Chile,3.25,46,3.19,35,2.77,63,3.3,43,2.97,56,3.71,44,3.5,34,2016
China,3.66,27,3.32,31,3.75,23,3.7,12,3.62,27,3.9,31,3.68,28,2016
Colombia,2.61,94,2.21,129,2.43,95,2.55,103,2.67,81,3.23,78,2.55,96,2016
Costa Rica,2.65,89,2.33,113,2.32,107,2.89,73,2.55,94,2.98,101,2.77,77,2016
Croatia,3.16,51,3.07,47,2.99,53,3.12,51,3.21,42,3.39,67,3.16,52,2016
Cuba,2.35,131,2.38,105,2.31,108,2.31,136,2.25,135,2.51,145,2.31,124,2016
Cyprus,3.0,59,3.11,44,3.0,52,2.8,78,2.72,76,3.79,38,2.54,98,2016
Czech Republic,3.67,26,3.58,19,3.36,35,3.65,18,3.65,26,3.94,28,3.84,21,2016
Denmark,3.82,17,3.82,14,3.75,24,3.66,15,4.01,9,3.92,30,3.74,25,2016
Djibouti,2.32,134,2.37,106,2.3,110,2.48,111,1.96,152,2.69,132,2.09,139,2016
Dominican Republic,2.63,91,2.39,101,2.29,111,2.67,87,2.68,79,3.06,93,2.63,88,2016
El Salvador,2.71,83,2.37,107,2.25,114,2.82,76,2.66,83,3.29,74,2.78,76,2016
Estonia,3.36,38,3.41,29,3.18,44,3.07,56,3.18,46,4.08,20,3.25,48,2016
Fiji,2.32,136,2.33,111,2.25,115,2.21,147,2.25,134,2.6,140,2.25,128,2016
Finland,3.92,15,4.01,4,4.01,16,3.51,30,3.88,16,4.14,16,4.04,11,2016
France,3.9,16,3.71,17,4.01,15,3.64,20,3.82,19,4.25,13,4.02,15,2016
Gabon,2.19,143,2.07,134,2.05,141,2.28,141,2.12,142,2.52,144,2.07,142,2016
Georgia,2.35,130,2.26,118,2.17,128,2.35,131,2.08,146,2.8,117,2.44,112,2016
Germany,4.23,1,4.12,2,4.44,1,3.86,8,4.28,1,4.45,2,4.27,3,2016
Ghana,2.66,88,2.46,93,2.48,86,2.71,85,2.54,98,3.21,82,2.52,101,2016
Greece,3.24,47,2.85,55,3.32,37,2.97,64,2.91,60,3.85,34,3.59,30,2016
Guatemala,2.48,111,2.47,91,2.2,127,2.41,120,2.3,130,2.98,100,2.46,110,2016
Guinea,2.36,129,2.28,117,2.01,145,2.38,124,2.54,97,2.38,148,2.54,97,2016
Guinea-Bissau,2.37,128,2.44,95,1.91,152,2.57,99,2.07,148,2.74,123,2.41,114,2016
Guyana,2.67,85,2.4,98,2.24,118,2.66,89,2.66,85,3.12,90,2.9,69,2016
Haiti,1.72,159,1.7,158,1.47,159,1.81,159,1.68,159,2.02,160,1.56,158,2016
Honduras,2.46,112,2.21,126,2.04,143,2.58,97,2.44,110,2.91,108,2.53,99,2016
Hong Kong,4.07,9,3.94,7,4.1,10,4.05,2,4.0,11,4.29,9,4.03,14,2016
Hungary,3.43,31,3.02,49,3.48,32,3.44,34,3.35,34,3.88,33,3.4,41,2016
Iceland,3.35,39,3.13,43,3.02,51,3.32,42,3.26,39,3.88,32,3.42,40,2016
India,3.42,35,3.17,38,3.34,36,3.36,39,3.39,32,3.74,42,3.52,33,2016
